SDG_IND,Indicator,LOCATION,Country,TIME,Time,Value,Edu_expenditure(%),Edu_cor
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AFG,Afghanistan,1970,1970,1.3372,#N/A,
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AFG,Afghanistan,1972,1972,1.65126,1.11718,#N/A
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AFG,Afghanistan,1973,1973,1.83759,1.42788,
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AFG,Afghanistan,1974,1974,1.74294,#N/A,
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AFG,Afghanistan,1975,1975,1.89617,1.30332,
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AFG,Afghanistan,1976,1976,2.14776,#N/A,
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AFG,Afghanistan,1977,1977,2.20289,#N/A,
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AFG,Afghanistan,1978,1978,2.89276,#N/A,
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AFG,Afghanistan,1979,1979,3.23926,1.73981,
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AFG,Afghanistan,1986,1986,3.60227,#N/A,
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AFG,Afghanistan,1990,1990,2.96306,#N/A,
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AFG,Afghanistan,2003,2003,1.8217,#N/A,
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AFG,Afghanistan,2004,2004,1.82145,#N/A,
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AFG,Afghanistan,2009,2009,5.97378,#N/A,
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AFG,Afghanistan,2011,2011,5.28638,3.46201,
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AFG,Afghanistan,2014,2014,12.63402,3.69522,
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AFG,Afghanistan,2018,2018,14.2081,#N/A,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AFG,Afghanistan,1970,1970,0.2215,#N/A,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AFG,Afghanistan,1972,1972,0.2534,1.11718,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AFG,Afghanistan,1973,1973,0.34059,1.42788,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AFG,Afghanistan,1974,1974,0.28284,#N/A,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AFG,Afghanistan,1975,1975,0.31176,1.30332,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AFG,Afghanistan,1976,1976,0.35448,#N/A,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AFG,Afghanistan,1977,1977,0.58387,#N/A,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AFG,Afghanistan,1978,1978,0.68363,#N/A,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AFG,Afghanistan,1979,1979,0.60231,1.73981,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AFG,Afghanistan,1986,1986,0.62182,#N/A,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AFG,Afghanistan,1990,1990,1.40606,#N/A,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AFG,Afghanistan,2003,2003,0.51657,#N/A,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AFG,Afghanistan,2004,2004,0.51396,#N/A,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AFG,Afghanistan,2009,2009,1.41213,#N/A,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AFG,Afghanistan,2011,2011,1.82724,3.46201,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AFG,Afghanistan,2014,2014,3.48702,3.69522,
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AFG,Afghanistan,2018,2018,4.90508,#N/A,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AFG,Afghanistan,1970,1970,0.76877,#N/A,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AFG,Afghanistan,1971,1971,0.92388,1.16036,
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AFG,Afghanistan,1972,1972,0.95113,1.11718,
