"SDG_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"GER_5T8","Gross enrolment ratio for tertiary education, both sexes (%)","SYR","Syrian Arab Republic","1971","1971",7.49105,,
"GER_5T8","Gross enrolment ratio for tertiary education, both sexes (%)","SYR","Syrian Arab Republic","1972","1972",8.59514,,
"GER_5T8","Gross enrolment ratio for tertiary education, both sexes (%)","SYR","Syrian Arab Republic","1973","1973",8.12071,,
"GER_5T8","Gross enrolment ratio for tertiary education, both sexes (%)","SYR","Syrian Arab Republic","1974","1974",8.48347,,
"GER_5T8","Gross enrolment ratio for tertiary education, both sexes (%)","SYR","Syrian Arab Republic","1975","1975",9.24665,,
"GER_5T8","Gross enrolment ratio for tertiary education, both sexes (%)","SYR","Syrian Arab Republic","1976","1976",9.76211,,
"GER_5T8","Gross enrolment ratio for tertiary education, both sexes (%)","SYR","Syrian Arab Republic","1977","1977",11.76905,,
"GER_5T8","Gross enrolment ratio for tertiary education, both sexes (%)","SYR","Syrian Arab Republic","1978","1978",13.04061,,
"GER_5T8","Gross enrolment ratio for tertiary education, both sexes (%)","SYR","Syrian Arab Republic","1979","1979",14.37767,,
"GER_5T8","Gross enrolment ratio for tertiary education, both sexes (%)","SYR","Syrian Arab Republic","1980","1980",13.84702,,
"GER_5T8","Gross enrolment ratio for tertiary education, both sexes (%)","SYR","Syrian Arab Republic","1981","1981",16.25492,,
"GER_5T8","Gross enrolment ratio for tertiary education, both sexes (%)","SYR","Syrian Arab Republic","1982","1982",16.28764,,
"GER_5T8","Gross enrolment ratio for tertiary education, both sexes (%)","SYR","Syrian Arab Republic","1983","1983",16.14503,,
"GER_5T8","Gross enrolment ratio for tertiary education, both sexes (%)","SYR","Syrian Arab Republic","1984","1984",16.26758,,
"GER_5T8","Gross enrolment ratio for tertiary education, both sexes (%)","SYR","Syrian Arab Republic","1985","1985",17.16048,,
"GER_5T8","Gross enrolment ratio for tertiary education, both sexes (%)","SYR","Syrian Arab Republic","1986","1986",17.46033,,
"GER_5T8","Gross enrolment ratio for tertiary education, both sexes (%)","SYR","Syrian Arab Republic","1987","1987",17.23989,,
"GER_5T8","Gross enrolment ratio for tertiary education, both sexes (%)","SYR","Syrian Arab Republic","1988","1988",18.75102,,
"GER_5T8","Gross enrolment ratio for tertiary education, both sexes (%)","SYR","Syrian Arab Republic","1989","1989",17.8427,,
"GER_5T8","Gross enrolment ratio for tertiary education, both sexes (%)","SYR","Syrian Arab Republic","1990","1990",18.05183,,
"GER_5T8","Gross enrolment ratio for tertiary education, both sexes (%)","SYR","Syrian Arab Republic","1991","1991",17.88873,,
"GER_5T8","Gross enrolment ratio for tertiary education, both sexes (%)","SYR","Syrian Arab Republic","1992","1992",16.95967,,
"GER_5T8","Gross enrolment ratio for tertiary education, both sexes (%)","SYR","Syrian Arab Republic","1993","1993",16.86447,,
"GER_5T8","Gross enrolment ratio for tertiary education, both sexes (%)","SYR","Syrian Arab Republic","1994","1994",15.30393,,
"GER_5T8","Gross enrolment ratio for tertiary education, both sexes (%)","SYR","Syrian Arab Republic","1995","1995",14.64512,,
"GER_5T8","Gross enrolment ratio for tertiary education, both sexes (%)","SYR","Syrian Arab Republic","2002","2002",12.33515,,
"GER_5T8","Gross enrolment ratio for tertiary education, both sexes (%)","SYR","Syrian Arab Republic","2003","2003",12.93719,,
"GER_5T8","Gross enrolment ratio for tertiary education, both sexes (%)","SYR","Syrian Arab Republic","2004","2004",14.95783,,
"GER_5T8","Gross enrolment ratio for tertiary education, both sexes (%)","SYR","Syrian Arab Republic","2005","2005",18.14369,,
"GER_5T8","Gross enrolment ratio for tertiary education, both sexes (%)","SYR","Syrian Arab Republic","2006","2006",20.84381,,
"GER_5T8","Gross enrolment ratio for tertiary education, both sexes (%)","SYR","Syrian Arab Republic","2007","2007",22.45814,,
"GER_5T8","Gross enrolment ratio for tertiary education, both sexes (%)","SYR","Syrian Arab Republic","2008","2008",24.04605,,
"GER_5T8","Gross enrolment ratio for tertiary education, both sexes (%)","SYR","Syrian Arab Republic","2009","2009",24.13733,,
"GER_5T8","Gross enrolment ratio for tertiary education, both sexes (%)","SYR","Syrian Arab Republic","2010","2010",25.8534,,
"GER_5T8","Gross enrolment ratio for tertiary education, both sexes (%)","SYR","Syrian Arab Republic","2011","2011",25.84131,,
"GER_5T8","Gross enrolment ratio for tertiary education, both sexes (%)","SYR","Syrian Arab Republic","2012","2012",30.90499,,
"GER_5T8","Gross enrolment ratio for tertiary education, both sexes (%)","SYR","Syrian Arab Republic","2013","2013",32.84584,,
"GER_5T8","Gross enrolment ratio for tertiary education, both sexes (%)","SYR","Syrian Arab Republic","2014","2014",41.58043,,
"GER_5T8","Gross enrolment ratio for tertiary education, both sexes (%)","SYR","Syrian Arab Republic","2015","2015",42.67733,,
"GER_5T8","Gross enrolment ratio for tertiary education, both sexes (%)","SYR","Syrian Arab Republic","2016","2016",40.05115,,
"GER_5T8_M","Gross enrolment ratio for tertiary education, male (%)","PRK","Democratic People's Republic of Korea","2009","2009",40.79617,,
"GER_5T8_M","Gross enrolment ratio for tertiary education, male (%)","PRK","Democratic People's Republic of Korea","2015","2015",36.02838,,
"GER_5T8_M","Gross enrolment ratio for tertiary education, male (%)","PRK","Democratic People's Republic of Korea","2018","2018",35.22,,
"GER_5T8_M","Gross enrolment ratio for tertiary education, male (%)","MDV","Maldives","1998","1998",,"a","Category not applicable"
"GER_5T8_M","Gross enrolment ratio for tertiary education, male (%)","MDV","Maldives","1999","1999",,"a","Category not applicable"
"GER_5T8_M","Gross enrolment ratio for tertiary education, male (%)","MDV","Maldives","2000","2000",,"a","Category not applicable"
