SDG_IND,Indicator,LOCATION,Country,TIME,Time,Value
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AFG,Afghanistan,1970,1970,1.3372
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AFG,Afghanistan,1972,1972,1.65126
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AFG,Afghanistan,1973,1973,1.83759
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AFG,Afghanistan,1974,1974,1.74294
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AFG,Afghanistan,1975,1975,1.89617
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AFG,Afghanistan,1976,1976,2.14776
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AFG,Afghanistan,1977,1977,2.20289
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AFG,Afghanistan,1978,1978,2.89276
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AFG,Afghanistan,1979,1979,3.23926
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AFG,Afghanistan,1986,1986,3.60227
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AFG,Afghanistan,1990,1990,2.96306
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AFG,Afghanistan,2003,2003,1.8217
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AFG,Afghanistan,2004,2004,1.82145
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AFG,Afghanistan,2009,2009,5.97378
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AFG,Afghanistan,2011,2011,5.28638
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AFG,Afghanistan,2014,2014,12.63402
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",AFG,Afghanistan,2018,2018,14.2081
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AFG,Afghanistan,1970,1970,0.2215
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AFG,Afghanistan,1972,1972,0.2534
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AFG,Afghanistan,1973,1973,0.34059
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AFG,Afghanistan,1974,1974,0.28284
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AFG,Afghanistan,1975,1975,0.31176
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AFG,Afghanistan,1976,1976,0.35448
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AFG,Afghanistan,1977,1977,0.58387
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AFG,Afghanistan,1978,1978,0.68363
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AFG,Afghanistan,1979,1979,0.60231
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AFG,Afghanistan,1986,1986,0.62182
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AFG,Afghanistan,1990,1990,1.40606
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AFG,Afghanistan,2003,2003,0.51657
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AFG,Afghanistan,2004,2004,0.51396
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AFG,Afghanistan,2009,2009,1.41213
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AFG,Afghanistan,2011,2011,1.82724
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AFG,Afghanistan,2014,2014,3.48702
GER_5T8_F,"Gross enrolment ratio for tertiary education, female (%)",AFG,Afghanistan,2018,2018,4.90508
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AFG,Afghanistan,1970,1970,0.76877
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AFG,Afghanistan,1971,1971,0.92388
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AFG,Afghanistan,1972,1972,0.95113
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AFG,Afghanistan,1973,1973,1.09459
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AFG,Afghanistan,1974,1974,1.0226
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AFG,Afghanistan,1975,1975,1.11732
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AFG,Afghanistan,1976,1976,1.26757
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AFG,Afghanistan,1977,1977,1.40822
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AFG,Afghanistan,1978,1978,1.80833
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AFG,Afghanistan,1979,1979,1.94564
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AFG,Afghanistan,1982,1982,1.72288
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AFG,Afghanistan,1986,1986,2.1554
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AFG,Afghanistan,1987,1987,1.70774
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AFG,Afghanistan,1990,1990,2.21141
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AFG,Afghanistan,2003,2003,1.20234
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AFG,Afghanistan,2004,2004,1.19937
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AFG,Afghanistan,2009,2009,3.77498
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AFG,Afghanistan,2011,2011,3.62226
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AFG,Afghanistan,2014,2014,8.23068
GER_5T8,"Gross enrolment ratio for tertiary education, both sexes (%)",AFG,Afghanistan,2018,2018,9.68642
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",ARM,Armenia,2000,2000,31.49674
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",ARM,Armenia,2001,2001,28.78222
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",ARM,Armenia,2002,2002,30.88904
GER_5T8_M,"Gross enrolment ratio for tertiary education, male (%)",ARM,Armenia,2003,2003,32.38493
