NATMON_IND,Indicator,LOCATION,Country,TIME,Time,Value,Flag Codes,Flags
XGDP_2_FSGOV,Government expenditure on lower secondary education as a percentage of GDP (%),AFG,Afghanistan,2010,2010,0.58931,,
XGDP_2_FSGOV,Government expenditure on lower secondary education as a percentage of GDP (%),AFG,Afghanistan,2011,2011,0.58483,,
XGDP_2_FSGOV,Government expenditure on lower secondary education as a percentage of GDP (%),AFG,Afghanistan,2012,2012,0.41961,,
XGDP_2_FSGOV,Government expenditure on lower secondary education as a percentage of GDP (%),AFG,Afghanistan,2013,2013,0.56504,,
XGDP_2_FSGOV,Government expenditure on lower secondary education as a percentage of GDP (%),AFG,Afghanistan,2014,2014,0.59534,,
XGDP_2_FSGOV,Government expenditure on lower secondary education as a percentage of GDP (%),AFG,Afghanistan,2015,2015,0.50315,,
XGDP_2_FSGOV,Government expenditure on lower secondary education as a percentage of GDP (%),AFG,Afghanistan,2016,2016,0.61607,,
XGDP_2_FSGOV,Government expenditure on lower secondary education as a percentage of GDP (%),AFG,Afghanistan,2017,2017,0.60285,,
XGDP_2T3_FSGOV,Government expenditure on secondary education as a percentage of GDP (%),AFG,Afghanistan,1971,1971,0.47367,,
XGDP_2T3_FSGOV,Government expenditure on secondary education as a percentage of GDP (%),AFG,Afghanistan,1975,1975,0.48024,,
XGDP_2T3_FSGOV,Government expenditure on secondary education as a percentage of GDP (%),AFG,Afghanistan,1979,1979,0.37079,,
XGDP_2T3_FSGOV,Government expenditure on secondary education as a percentage of GDP (%),AFG,Afghanistan,1980,1980,0.39592,,
XGDP_2T3_FSGOV,Government expenditure on secondary education as a percentage of GDP (%),AFG,Afghanistan,1981,1981,0.46844,,
XGDP_2T3_FSGOV,Government expenditure on secondary education as a percentage of GDP (%),AFG,Afghanistan,1982,1982,0.38917,,
XGDP_2T3_FSGOV,Government expenditure on secondary education as a percentage of GDP (%),AFG,Afghanistan,2010,2010,0.9288,,
XGDP_2T3_FSGOV,Government expenditure on secondary education as a percentage of GDP (%),AFG,Afghanistan,2011,2011,0.92174,,
XGDP_2T3_FSGOV,Government expenditure on secondary education as a percentage of GDP (%),AFG,Afghanistan,2012,2012,0.66133,,
XGDP_2T3_FSGOV,Government expenditure on secondary education as a percentage of GDP (%),AFG,Afghanistan,2013,2013,0.89054,,
XGDP_2T3_FSGOV,Government expenditure on secondary education as a percentage of GDP (%),AFG,Afghanistan,2014,2014,0.93829,,
XGDP_2T3_FSGOV,Government expenditure on secondary education as a percentage of GDP (%),AFG,Afghanistan,2015,2015,0.79299,,
XGDP_2T3_FSGOV,Government expenditure on secondary education as a percentage of GDP (%),AFG,Afghanistan,2016,2016,0.92321,,
XGDP_2T3_FSGOV,Government expenditure on secondary education as a percentage of GDP (%),AFG,Afghanistan,2017,2017,0.90325,,
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),AFG,Afghanistan,1971,1971,1.16036,,
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),AFG,Afghanistan,1972,1972,1.11718,,
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),AFG,Afghanistan,1973,1973,1.42788,,
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),AFG,Afghanistan,1975,1975,1.30332,,
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),AFG,Afghanistan,1979,1979,1.73981,,
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),AFG,Afghanistan,1980,1980,1.84093,,
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),AFG,Afghanistan,1981,1981,1.90917,,
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),AFG,Afghanistan,1982,1982,1.72998,,
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),AFG,Afghanistan,2010,2010,3.47945,,
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),AFG,Afghanistan,2011,2011,3.46201,,
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),AFG,Afghanistan,2012,2012,2.6042,,
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),AFG,Afghanistan,2013,2013,3.45446,,
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),AFG,Afghanistan,2014,2014,3.69522,,
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),AFG,Afghanistan,2015,2015,3.2558,,
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),AFG,Afghanistan,2016,2016,4.22836,‡,UIS Estimation
XGDP_FSGOV,Government expenditure on education as a percentage of GDP (%),AFG,Afghanistan,2017,2017,4.05887,‡,UIS Estimation
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),AFG,Afghanistan,1971,1971,0.30793,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),AFG,Afghanistan,1975,1975,0.47981,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),AFG,Afghanistan,1979,1979,0.75845,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),AFG,Afghanistan,1980,1980,0.87061,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),AFG,Afghanistan,1981,1981,0.80777,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),AFG,Afghanistan,1982,1982,0.74084,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),AFG,Afghanistan,2010,2010,2.16201,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),AFG,Afghanistan,2011,2011,2.14557,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),AFG,Afghanistan,2012,2012,1.53942,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),AFG,Afghanistan,2013,2013,2.07295,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),AFG,Afghanistan,2014,2014,2.18412,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),AFG,Afghanistan,2015,2015,1.84589,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),AFG,Afghanistan,2016,2016,1.83096,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),AFG,Afghanistan,2017,2017,1.79364,,
XGDP_2T4_V_FSGOV,Government expenditure on secondary and post-secondary non-tertiary vocational education as a percentage of GDP (%),AFG,Afghanistan,2010,2010,0.09319,,
XGDP_2T4_V_FSGOV,Government expenditure on secondary and post-secondary non-tertiary vocational education as a percentage of GDP (%),AFG,Afghanistan,2011,2011,0.10498,,
XGDP_2T4_V_FSGOV,Government expenditure on secondary and post-secondary non-tertiary vocational education as a percentage of GDP (%),AFG,Afghanistan,2012,2012,0.08471,,
XGDP_2T4_V_FSGOV,Government expenditure on secondary and post-secondary non-tertiary vocational education as a percentage of GDP (%),AFG,Afghanistan,2013,2013,0.10412,,
